column,n_nan,pct_nan,n_neg8,n_neg9,n_le0,proposed_rule
HDC_T1,63,0.35,0,0,0,standard NaN; pairwise/complete-case later
CHO_T1,63,0.35,0,0,0,standard NaN; pairwise/complete-case later
TGL_T1,63,0.35,0,0,0,flag extremes vs winsorize (do not apply yet)
BKR_T1,63,0.35,0,0,0,standard NaN; pairwise/complete-case later
DBP_T2,57,0.32,0,0,0,standard NaN; pairwise/complete-case later
HBF_T2,57,0.32,0,0,,standard NaN; pairwise/complete-case later
SBP_T2,57,0.32,0,0,0,standard NaN; pairwise/complete-case later
MAP_T2,57,0.32,0,0,,standard NaN; pairwise/complete-case later
HTN_MED_T1,53,0.3,0,0,,standard NaN; pairwise/complete-case later
EDUCATION_LOWER_T1,42,0.23,0,0,,standard NaN; pairwise/complete-case later
RESPIRATORY_DISEASE_T1,41,0.23,0,0,,standard NaN; pairwise/complete-case later
WAIST_T2,40,0.22,0,0,0,standard NaN; pairwise/complete-case later
HEIGHT_T2,40,0.22,0,0,0,standard NaN; pairwise/complete-case later
WEIGHT_T2,40,0.22,0,0,0,standard NaN; pairwise/complete-case later
BMI_T2,40,0.22,0,0,0,standard NaN; pairwise/complete-case later
HIP_T2,40,0.22,0,0,,standard NaN; pairwise/complete-case later
MAP_T1,8,0.04,0,0,,standard NaN; pairwise/complete-case later
HBF_T1,7,0.04,0,0,,standard NaN; pairwise/complete-case later
DBP_T1,7,0.04,0,0,0,standard NaN; pairwise/complete-case later
SBP_T1,7,0.04,0,0,0,standard NaN; pairwise/complete-case later
METABOLIC_DISORDER_T2,4,0.02,21,24,,mask −8/−9→NaN for analysis; keep 0/1
LOW_QUALITY_OF_LIFE_T1,4,0.02,0,0,,standard NaN; pairwise/complete-case later
METABOLIC_DISORDER_T1,4,0.02,15,24,,mask −8/−9→NaN for analysis; keep 0/1
HIP_T3,1,0.01,0,0,,standard NaN; pairwise/complete-case later
WAIST_T3,1,0.01,0,0,0,standard NaN; pairwise/complete-case later
FINANCE_T1,0,0.0,0,0,,no missing observed
HEIGHT_T1,0,0.0,0,0,0,no missing observed
WEIGHT_T1,0,0.0,0,0,0,no missing observed
HIP_T1,0,0.0,0,0,,no missing observed
BMI_T1,0,0.0,0,0,0,no missing observed
WAIST_T1,0,0.0,0,0,0,no missing observed
HEIGHT_T3,0,0.0,0,0,0,no missing observed
WEIGHT_T3,0,0.0,0,0,0,no missing observed
GENDER,0,0.0,0,0,,no missing observed
AGE_T1,0,0.0,0,0,,no missing observed
AGE_T2,0,0.0,0,0,,no missing observed
AGE_T3,0,0.0,0,0,,no missing observed
BURNOUT_T1,0,0.0,0,0,,no missing observed
DEPRESSION_T1,0,0.0,0,0,,no missing observed
OSTEOARTHRITIS,0,0.0,0,0,,no missing observed
NSES_YEAR,0,0.0,0,0,,no missing observed
